,Chance of Admit 
0,0.6086797741615845
1,0.7358336978868442
2,0.7438405257115392
3,0.883015109997866
4,0.6852028331872947
5,0.6565663177110589
6,0.7820064166696116
7,0.7044797799125972
8,0.6640452794556033
9,0.5099064681334903
10,0.8256797591631738
11,0.9490164084131518
12,0.6062456440120938
13,0.7329997432738417
14,0.968145850170645
15,0.7609293757611002
16,0.8845141391197524
17,0.7643602088983824
18,0.502847100870958
19,0.5327207297898958
20,0.5314675495815381
21,0.636000662954405
22,0.4919127104249838
23,0.5910873840389043
24,0.8145621906975156
25,0.5927765943324125
26,0.7335296057860563
27,0.6096465124169492
28,0.9596546947755229
29,0.8942706672535304
30,0.8198455614206459
31,0.6034769974452607
32,0.690460744012831
33,0.791444660298998
34,0.7724609314756851
35,0.5570679632184051
36,0.5193079896155595
37,0.5753899934237312
38,0.6752055837002794
39,0.6187570581832936
40,0.7488765605506214
41,0.9471975488314225
42,0.6414146929144818
43,0.5781757984923973
44,0.6147665992960613
45,0.5603544848552018
46,0.994550872078804
47,0.7734481208696676
48,0.6384990123978312
49,0.804522763805847
50,0.5721205893496065
51,0.6782766347641639
52,0.8813830117250805
53,0.6325180709070422
54,0.817602390718372
55,0.5486968393251881
56,0.6207915961462284
57,0.6475213481636918
58,0.6155642041117021
59,0.8768386533885953
60,0.7114402049481087
61,0.8656421444182535
62,0.6881812036903402
63,0.834415259192514
64,0.6687026240406257
65,0.88231941089457
66,0.7536383069222294
67,0.9465010481087217
68,0.6273954318018943
69,0.6671989628205967
70,0.8372883662443055
71,0.8923227561064371
72,0.6862434052014386
73,0.658581349597304
74,0.7145503663493517
75,0.931882990475064
76,0.6856451215980152
77,0.7217685864639529
78,0.798885830962568
79,0.6641390526111755
80,0.8834973976369387
81,0.6572887723072569
82,0.5322057580887607
83,0.6722750747637377
84,0.9593253307952706
85,0.8596255714377157
86,0.6212405188885579
87,0.6441403144285427
88,0.7179087702676938
89,0.823329842256571
90,0.8253560364357544
91,0.8698209506457616
92,0.6855871054736649
93,0.8228897963696442
94,0.9461863657333954
95,0.9904575365324985
96,0.8888726023669355
97,0.8836148749565037
98,0.7633470307525994
99,0.5196480869539121
100,0.6544039016281762
101,0.9812820942320172
102,0.7710994167705258
103,0.5018544969232099
104,0.5241470291770302
105,0.9027566097913536
106,0.4904003551879362
107,0.6521085049422672
108,0.8327117754336707
109,0.5934678644183404
110,0.7689054134513112
111,0.8629160695944431
112,0.5293555532949978
113,0.7071747733026188
114,0.5862189555239001
115,0.5791767614229784
116,0.7588060706058493
117,0.49643132466612144
118,0.5788290477872348
119,0.9104299957612204
120,0.8773320844625238
121,0.5535824240808844
122,0.5792227931738054
123,0.8795169477921119
124,0.6861891356274481
125,0.8234609110819378
126,0.9386698375678415
127,0.672362528365944
128,0.5996507259154011
129,0.6885705632925364
130,0.658993839841016
131,0.5130328797664628
132,0.5113916383843541
133,0.611119923018776
134,0.829294431921793
135,0.854304864378637
136,0.6814886415085117
